kpkpass 21.04.3-1
kplotting 5.84.0-1
kpmcore 21.04.3-1
kpty 5.84.0-1
kpublictransport 21.04.3-1
kqtquickcharts 21.04.3-1
kquickcharts 5.84.0-1
krb5 1.19.2-1
krdc 21.04.3-1
kreversi 21.04.3-1
krfb 21.04.3-1
krita 4.4.5-3
kross 5.84.0-1
kross-interpreters 21.04.3-1
kruler 21.04.3-1
krunner 5.84.0-1
kscreenlocker 5.22.4-1
kservice 5.84.0-1
kshisen 21.04.3-1
ksirk 21.04.3-1
ksmtp 21.04.3-1
ksnakeduel 21.04.3-1
kspaceduel 21.04.3-1
ksquares 21.04.3-1
ksudoku 21.04.3-1
ksysguard 5.22.0-1
ksystemlog 21.04.3-1
ksystemstats 5.22.4-1
kteatime 21.04.3-1
ktexteditor 5.84.0-1
ktextwidgets 5.84.0-1
ktimer 21.04.3-1
ktnef 21.04.3-1
ktorrent 21.04.3-1
ktouch 21.04.3-1
ktuberling 21.04.3-1
kturtle 21.04.3-1
kubrick 21.04.3-1
kunitconversion 5.84.0-1
kuserfeedback 1.0.0-1
kwallet 5.84.0-1
kwalletmanager 21.04.3-1
kwave 21.04.3-1
kwayland 5.84.0-1
kwayland-integration 5.22.4-1
kwayland-server 5.22.4-1
kwidgetsaddons 5.84.0-1
kwin 5.22.4-1
kwindowsystem 5.84.0-1
kwordquiz 21.04.3-1
kwrite 21.04.3-1
kxmlgui 5.84.0-1
l-smash 2.14.5-2
lame 3.100-3
layer-shell-qt 5.22.4-1
lcms2 2.12-1
ldb 2:2.3.0-1
ldns 1.7.1-2
less 1:590-1
lib32-acl 2.3.1-1
lib32-alsa-lib 1.2.5.1-1
lib32-alsa-plugins 1.2.5-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-1
lib32-bzip2 1.0.8-2
lib32-curl 7.78.0-1
lib32-dbus 1.12.20-1
lib32-e2fsprogs 1.46.3-1
lib32-expat 2.4.1-1
lib32-faudio 21.07-1
lib32-fontconfig 2:2.13.94-1
lib32-freetype2 2.11.0-1
lib32-gcc-libs 11.1.0-1
lib32-gettext 0.21-1
lib32-glib2 2.68.3-1
lib32-glibc 2.33-5
lib32-glu 9.0.1-1
lib32-harfbuzz 2.8.2-1
lib32-icu 69.1-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.19.2-1
lib32-lcms2 2.12-1
lib32-libcap 2.51-1
lib32-libdrm 2.4.107-1
lib32-libelf 0.185-1
lib32-libffi 3.3-2
lib32-libgcrypt 1.9.3-1
lib32-libglvnd 1.3.3-1
lib32-libgpg-error 1.42-1
lib32-libice 1.0.10-1
lib32-libidn2 2.3.2-1
lib32-libjpeg-turbo 2.1.0-1
lib32-libldap 2.4.59-1
lib32-libnl 3.5.0-1
lib32-libnsl 1.3.0-2
lib32-libpcap 1.10.1-1
lib32-libpciaccess 0.16-1
lib32-libpng 1.6.37-3
lib32-libpsl 0.21.1-1
lib32-libsm 1.2.3-1
lib32-libssh2 1.9.0-1
lib32-libtasn1 4.17.0-1
lib32-libtiff 4.3.0-1
lib32-libtirpc 1.3.2-1
lib32-libunistring 0.9.10-1
lib32-libunwind 1.5.0-1
lib32-libx11 1.7.2-1
lib32-libxau 1.0.9-1
lib32-libxcb 1.14-1
lib32-libxcrypt 4.4.23-1
lib32-libxcursor 1.2.0-1
lib32-libxdamage 1.1.5-1
lib32-libxdmcp 1.1.3-1
lib32-libxext 1.3.4-1
lib32-libxfixes 6.0.0-1
lib32-libxi 1.7.10-2
lib32-libxml2 2.9.10-4
lib32-libxrandr 1.5.2-1
lib32-libxrender 0.9.10-2
lib32-libxshmfence 1.3-2
lib32-libxss 1.2.3-1
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 12.0.1-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-1
lib32-mesa 21.1.5-1
lib32-ncurses 6.2-1
lib32-nspr 4.32-1
lib32-nss 3.68-1
lib32-openssl 1:1.1.1.k-1
lib32-p11-kit 0.24.0-1
lib32-pam 1.5.1-1
lib32-pcre 8.45-1
lib32-readline 8.1.001-1
lib32-sdl2 2.0.14-1
lib32-sqlite 3.36.0-1
lib32-systemd 249.2-1
lib32-util-linux 2.37.1-1
lib32-vulkan-icd-loader 1.2.184-1
lib32-vulkan-radeon 21.1.5-1
lib32-wayland 1.19.0-1
lib32-xz 5.2.5-2
lib32-zlib 1.2.11-3
lib32-zstd 1.5.0-2
libaccounts-glib 1.25-4
libaccounts-qt 1.16-3
libaec 1.0.5-1
libaio 0.3.112-2
libakonadi 21.04.3-1
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.5.1-1
libass 0.15.1-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libavc1394 0.5.4-4
libavif 0.9.2-1
libavtp 0.1.0-2
libblockdev 2.25-2
libbluray 1.3.0-1
libbs2b 3.1.0-7
libbsd 0.11.3-1
libburn 1.5.4-1
libbytesize 2.6-1
libcaca 0.99.beta19-5
libcacard 2.7.0-2
libcanberra 0.30+2+gc0620e4-5
libcap 2.51-1
libcap-ng 0.8.2-3
libcloudproviders 0.3.1-2
libcolord 1.4.5-4
libcroco 0.6.13-2
libcups 1:2.3.3op2-3
libdaemon 0.14-5
